BioSample	BioSampleModel	DATASTORE_filetype	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	depth	elev	lat_lon	sedimentology	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	samp_collect_device	samp_store_temp	samp_vol_we_dna_ext
SAMN06244102	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505898	11A	0	0	SRR5190070	SRS1930168	U1432C_11H5_40_42	16-Feb-2014	97.4 m	-3829 m	18.3514 N 116.3908 E	Calcareous Turbidite	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244101	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505899	10I	25	16	SRR5190071	SRS1930169	U1431D_11H5_15_17	30-Jan-2014	94.85 m	-4237 m	15.3756 N 117.0000 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244100	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505900	10H	11	7	SRR5190072	SRS1930170	U1431D_11H5_13_13	30-Jan-2014	94.83 m	-4237 m	15.3756 N 117.0000 E	Calcareous Turbidite - Lithogenic Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244099	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505901	10G	22	14	SRR5190073	SRS1930171	U1431D_11H5_9_11	30-Jan-2014	94.79 m	-4237 m	15.3756 N 117.0000 E	Calcareous Turbidite	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244098	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505902	10F	11	7	SRR5190074	SRS1930172	U1431D_15H3_35_37	30-Jan-2014	128.85 m	-4237 m	15.3756 N 117.0000 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244097	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505903	10E	13	8	SRR5190075	SRS1930173	U1431D_15H3_32_34	30-Jan-2014	128.825 m	-4237 m	15.3756 N 117.0000 E	Calcareous Turbidite - Lithogenic Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244096	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505904	10D	19	12	SRR5190076	SRS1930174	U1431D_15H3_27_29	30-Jan-2014	128.77 m	-4237 m	15.3756 N 117.0000 E	Calcareous Turbidite	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244095	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505905	8L	37	25	SRR5190077	SRS1930175	U1431D_10H7_48_50	30-Jan-2014	87.56 m	-4237 m	15.3756 N 117.0000 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244094	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505906	8J	13	7	SRR5190078	SRS1930176	U1431D_10H7_43_45	30-Jan-2014	87.51 m	-4237 m	15.3756 N 117.0000 E	Volcanic Ash	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244093	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505907	8H	6	3	SRR5190079	SRS1930177	U1433A_1H3_109_110	07-Mar-2014	4.09 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Turbidite - Diatomaeceous Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
